item_number,August,September,October,Total
KE0895,202.86280624983644,209.68681971053266,218.05314229850197,630.602768258871
KE1000,125.8373533235818,104.51852701143942,94.93608193126381,325.291962266285
KE0921,247.24393239335507,248.43275288585141,259.33088701039514,755.0075722896016
KE0015,196.44014069541973,189.168550170863,193.01172662995396,578.6204174962367
KE0224,180.03870864599946,173.96698004293697,185.95813422804923,539.9638229169857
KE0789,239.9833188170289,254.1233851873869,275.1475804116257,769.2542844160415
KE0209,229.22438972588,228.67684402698927,249.4752165103896,707.3764502632589
KE0466,243.15419965035858,259.7740262829708,268.24003464452966,771.168260577859
KE0085,140.8028698215487,143.0845372057142,146.60506266029898,430.49246968756194
KE0853,315.2262182363135,340.16969493646076,378.9608331290598,1034.356746301834
KE0560,216.35693972547324,224.06569081690182,242.50914064466232,682.9317711870374
KE0659,232.81222218965496,235.2978173138657,245.45870726773094,713.5687467712515
KE0858,323.3485329430395,341.24337987284207,365.60812746033224,1030.200040276214
KE0484,145.54997533632647,141.55775525088856,142.23045564131996,429.338186228535
KE0970,229.10639925507408,238.5682679847878,251.22918067466395,718.9038479145258
KE0701,239.58155498096883,247.2181940138024,260.46301124295724,747.2627602377285
KE0601,227.89417552590646,231.1544973792602,249.72047903695002,708.7691519421167
KE0867,125.08660725147304,118.31967656770065,107.33714119806064,350.74342501723436
KE0769,255.71360015665894,278.47149568583035,311.44365257050725,845.6287484129966
KE0341,212.34332816159784,223.16995949001023,232.1648235966127,667.6781112482207
KE0147,188.69258404414578,199.3831202945192,223.8349057097701,611.910610048435
KE0746,108.89446878585106,89.3592915858416,77.1724661300161,275.42622650170875
KE0612,330.2909391042909,361.25306701584043,395.9617469193466,1087.505753039478
KE0464,100.65969027344615,82.36558188701878,83.02349418757015,266.0487663480351
KE0504,257.15472576512155,272.19008404679835,296.63434517306416,825.9791549849841
KE0876,230.47848523855671,241.10520983144104,260.65444676120796,732.2381418312057
KE0934,147.1181577805223,135.41553440095512,136.41766752747418,418.9513597089516
KE0828,52.287243338402604,43.171478095921024,30.604995027184412,126.06371646150804
KE0380,132.30257759949737,126.80755601526194,126.73459529526457,385.8447289100239
KE0790,237.26568381832752,253.6468978734008,274.07865847871045,764.9912401704387
KE0879,217.10742563873038,221.34692880070264,231.014524382102,669.468878821535
KE0660,312.89580039586417,346.499149118891,377.3202364698639,1036.715185984619
KE0243,214.14986602688745,221.76582329143014,228.72179149205374,664.6374808103714
KE0665,85.74479199252127,76.29221944199011,77.40106470176389,239.43807613627527
KE0435,189.53239855993448,182.20297495814862,179.62450762773975,551.3598811458228
KE0120,275.15307721327724,281.4915186460547,315.3847116090241,872.0293074683561
KE0195,188.16720522653594,199.9420411531684,204.18897228040137,592.2982186601057
KE0713,177.58277619620029,185.45831146818904,196.9042420912923,559.9453297556817
KE0911,168.90029668188077,173.61711816365883,177.82575754159862,520.3431723871382
KE0497,128.54923386943682,131.4952437387864,131.8983239094198,391.94280151764303
KE0447,125.5555612721654,111.13453106511045,101.11483233229387,337.80492466956974
KE0060,248.76446313774304,261.21693190239887,288.8914813079489,798.8728763480908
KE0661,215.43944524503095,231.32530103612123,239.79362336712234,686.5583696482745
KE0896,273.82404150123443,286.25425927985805,304.4905877271662,864.5688885082586
KE0351,343.4693353514036,350.45374513976753,382.56704870365854,1076.4901291948295
KE0585,230.98325994796025,238.7075515074329,265.475762390183,735.1665738455761
KE0803,191.27385989363455,206.53207903851796,215.5325298260158,613.3384687581683
KE0645,201.00595779776484,194.1776231425517,195.83523627893373,591.0188172192503
KE0523,111.6686984871959,119.83754114472933,116.42247206097544,347.92871169290066
KE0137,131.21314012584503,127.98480949182937,134.94784522638918,394.1457948440636
KE0165,347.3670268606629,386.85024990640386,433.41600990869404,1167.6332866757607
KE0078,186.93307083659784,185.04789051782174,190.95515357237977,562.9361149267994
KE0287,183.79382326620953,181.09019281611924,184.4034410992546,549.2874571815834
KE0740,203.71954595299016,206.06991156485617,215.4560010297125,625.2454585475589
KE0126,130.98757409046044,131.44679263850415,141.00102628850277,403.4353930174674
KE0011,179.04528917204874,167.9515184746205,175.1180593509847,522.114866997654
KE0662,387.59797700256775,402.7426406515299,440.8427881677579,1231.1834058218556
KE0053,59.47315943091,37.94698544659922,33.858975552743814,131.27912043025304
KE0971,213.4777042971116,211.98711144700178,227.42621929797278,652.8910350420862
KE0065,183.27852036053363,170.16054017753393,179.3098819347054,532.748942472773
KE0062,192.99297028765872,204.66577026040446,216.3319097738656,613.9906503219288
KE0381,305.76516117131183,332.0870400764451,372.67957423711965,1010.5317754848766
KE0193,212.0522895605172,215.61772530998329,210.0065133315809,637.6765282020814
KE0442,200.11225734625322,209.0780659884641,217.05590363681372,626.246226971531
KE0932,161.0032150552309,153.46028358329906,156.1699302753997,470.6334289139296
KE0236,110.24070879978201,93.81790390612213,85.054372043437,289.11298474934114
KE0489,165.3383741560865,164.28032906836322,166.32828164100465,495.9469848654544
KE0419,216.7894279535469,222.63617676931614,238.07874498131324,677.5043497041762
KE0561,235.5423893437284,246.35928811565222,268.5130510050877,750.4147284644682
KE0807,213.42740796069467,226.1309204407278,255.67085955956736,695.2291879609899
KE0171,171.3190837233683,173.21240548835485,183.0777839164462,527.6092731281694
KE0142,206.0049505412684,202.08797208476219,212.19308338724738,620.286006013278
KE0991,183.30918697032814,179.08036076580868,188.98695924191773,551.3765069780545
KE0955,177.9846812799816,186.808257810624,186.45578847103513,551.2487275616407
KE0279,184.03588164914328,193.9913931016637,205.97117413409526,583.9984488849022
KE0676,213.06628249191124,227.01668776938502,244.5623432575424,684.6453135188387
KE0158,144.07517024244544,139.95515641111163,143.96637632938754,427.9967029829446
KE0548,280.6696211476513,281.2759824994491,293.0007612026867,854.9463648497871
KE0854,275.1672001872581,296.9698467937069,314.8497225017862,886.9867694827512
KE0451,274.8757028171682,281.342076868338,298.7769564709024,854.9947361564086
KE0988,85.82867307900229,75.99267538417176,61.87652452022764,223.69787298340168
KE0940,224.1503952591398,233.02010512203526,246.67555684771256,703.8460572288876
KE0984,169.96853105779016,164.7577000285763,164.32108146681145,499.0473125531779
KE0752,171.48494188589953,173.87071745312605,180.67299118013207,526.0286505191576
KE0152,167.13101267170268,174.09317333551166,184.37005655879094,525.5942425660053
KE0302,191.29210881962575,175.85673015528477,194.27964576243573,561.4284847373463
KE0950,255.99030883150155,255.36082205459653,277.8280711124312,789.1792019985293
KE0090,254.29566787160613,264.19104169654537,290.5293781031919,809.0160876713434
KE0108,185.64660828009866,200.7040001762801,214.67761517344334,601.028223629822
KE0869,104.39015567245532,98.02872689713023,99.7363881957315,302.155270765317
KE0453,128.00332368049763,124.31900339960286,116.89149606780411,369.2138231479046
KE0047,225.92371384247963,219.69738582793516,231.11205228500535,676.7331519554201
KE0724,219.7299913586596,231.90465644363957,243.51538341013833,695.1500312124374
KE0321,230.5370825805683,250.67790505027682,265.3734359630571,746.5884235939022
KE0339,97.37386901870676,91.84135420593476,75.73837201200864,264.9535952366502
KE0748,266.0185027512951,285.31115590492476,298.8226591117983,850.1523177680182
